Date,Hour,Country,League,Home,Away,ScoreHome,ScoreAway,Score,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,AOAW,AOD,AOHW
2023-12-25,11:00,Turquia,Süper Lig,Kasimpasa,Rizespor,2,2,2x2,3.07,4.99,4.05,2.2,5.7,9.27,7.54,4.08,5.3,8.61,7.0,3.8,3.28,5.33,4.34,2.35,7.49,0.5,11.11
2023-12-25,11:00,Turquia,Süper Lig,Alanyaspor,Samsunspor,3,1,3x1,14.1,12.69,5.71,1.71,14.93,13.44,6.05,1.81,7.91,7.11,3.2,0.96,2.79,2.51,1.13,0.34,1.32,0.02,2.26
2023-12-25,14:00,Turquia,Süper Lig,Hatayspor,Besiktas,1,2,1x2,6.64,10.44,8.21,4.31,7.56,11.9,9.36,4.91,4.31,6.78,5.33,2.8,1.64,2.57,2.02,1.06,7.35,0.13,2.69
2023-12-25,14:00,Turquia,Süper Lig,Pendikspor,Ankaragucu,1,1,1x1,7.55,10.84,7.79,3.73,8.66,12.44,8.94,4.28,4.97,7.14,5.13,2.45,1.9,2.73,1.96,0.94,5.66,0.1,2.8
2023-12-25,11:00,Egito,Premier League,El Gouna FC,Enppi,1,2,1x2,18.93,13.08,4.52,1.04,18.43,12.73,4.4,1.01,8.97,6.2,2.14,0.49,2.91,2.01,0.7,0.16,0.54,0.01,1.73
2023-12-25,14:00,Egito,Premier League,Baladiyyat Al Mehalla,National Bank of Egypt,0,2,0x2,13.52,13.13,6.38,2.07,13.92,13.52,6.57,2.13,7.17,6.96,3.38,1.09,2.46,2.39,1.16,0.38,1.7,0.02,2.06
