Date,Hour,Country,League,Home,Away,ScoreHome,ScoreAway,Score,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,AOAW,AOD,AOHW
2023-11-20,17:00,Espanha,Segunda División,Levante,Racing Santander,,,,7.11,8.69,5.31,2.16,10.1,12.35,7.55,3.08,7.18,8.78,5.37,2.19,3.4,4.16,2.54,1.04,3.41,0.12,5.46
2023-11-20,20:00,Brasil,Serie B,Sampaio Correa,Avai,,,,13.78,13.4,6.51,2.11,13.91,13.53,6.58,2.13,7.03,6.83,3.32,1.08,2.37,2.3,1.12,0.36,1.7,0.02,1.93
2023-11-20,16:30,Uruguai,Primera División - Clausura,Fenix,Club Nacional,,,,6.45,10.32,8.26,4.4,7.36,11.78,9.42,5.02,4.2,6.72,5.37,2.87,1.6,2.56,2.04,1.09,7.71,0.13,2.7
2023-11-20,19:00,Uruguai,Primera División - Clausura,Defensor Sporting,Boston River,,,,15.82,7.79,1.92,0.31,21.38,10.53,2.59,0.43,14.45,7.11,1.75,0.29,6.51,3.2,0.79,0.13,0.16,0.01,4.83
