Date,Hour,Country,League,Home,Away,ScoreHome,ScoreAway,Score,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,AOAW,AOD,AOHW
2023-11-15,16:45,Inglaterra,FA Cup,Cray Valley PM,Charlton,1,6,1x6,1.51,5.39,9.62,11.44,0.94,3.37,6.0,7.14,0.29,1.05,1.87,2.23,0.06,0.22,0.39,0.46,47.6,0.07,0.21
2023-11-15,10:00,World,World Cup - Qualification Africa,Rwanda,Zimbabwe,0,0,0x0,22.48,12.95,3.73,0.72,20.6,11.87,3.42,0.66,9.44,5.44,1.57,0.3,2.88,1.66,0.48,0.09,0.29,0.01,1.42
2023-11-15,10:00,World,World Cup - Qualification Africa,Equatorial Guinea,Namibia,1,0,1x0,21.76,8.47,1.65,0.21,24.71,9.62,1.87,0.24,14.03,5.46,1.06,0.14,5.31,2.07,0.4,0.05,0.07,0.01,2.84
2023-11-15,13:00,World,World Cup - Qualification Africa,Congo DR,Mauritania,2,0,2x0,14.62,4.82,0.8,0.09,23.28,7.68,1.27,0.14,18.55,6.12,1.01,0.11,9.85,3.25,0.54,0.06,0.04,0.01,7.78
2023-11-15,16:00,World,World Cup - Qualification Africa,Ethiopia,Sierra Leone,0,0,0x0,21.03,19.2,8.77,2.67,13.59,12.41,5.66,1.72,4.39,4.01,1.83,0.56,0.95,0.86,0.39,0.12,1.41,0.01,0.43
2023-11-15,16:45,World,Euro Championship - Qualification,Israel,Switzerland,1,1,1x1,5.42,11.95,13.16,9.66,3.86,8.5,9.36,6.88,1.37,3.03,3.33,2.45,0.33,0.72,0.79,0.58,18.04,0.06,0.51
