Date,Hour,Country,League,Home,Away,ScoreHome,ScoreAway,Score,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,AOAW,AOD,AOHW
2023-11-22,19:00,Brasil,Serie A,Cruzeiro,Vasco DA Gama,,,,24.45,17.66,6.38,1.54,16.77,12.12,4.38,1.05,5.76,4.16,1.5,0.36,1.32,0.95,0.34,0.08,0.64,0.01,0.53
2023-11-22,21:30,Brasil,Serie A,Fluminense,Sao Paulo,,,,11.56,5.4,1.26,0.2,19.54,9.12,2.13,0.33,16.52,7.71,1.8,0.28,9.31,4.35,1.01,0.16,0.12,0.01,9.17
2023-11-22,21:10,Argentina,Copa Argentina,Boca Juniors,Estudiantes L.P.,,,,19.33,14.37,5.35,1.33,17.39,12.94,4.81,1.19,7.83,5.82,2.16,0.54,2.35,1.75,0.65,0.16,0.7,0.01,1.34
