Date,Hour,Country,League,Home,Away,ScoreHome,ScoreAway,Score,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,AOAW,AOD,AOHW
2024-01-08,17:15,Inglaterra,FA Cup,Wigan,Manchester United,0,2,0x2,2.79,9.06,14.72,15.94,0.92,2.99,4.86,5.27,0.15,0.49,0.8,0.87,0.02,0.05,0.09,0.1,40.79,0.01,0.02
2024-01-08,17:15,Portugal,Primeira Liga,Moreirense,Casa Pia,1,4,1x4,16.55,9.1,2.5,0.46,20.67,11.37,3.13,0.57,12.9,7.1,1.95,0.36,5.37,2.95,0.81,0.15,0.24,0.01,3.81
2024-01-08,05:45,Austrália,A-League,Adelaide United,Macarthur,1,1,1x1,1.25,2.08,1.73,0.96,3.39,5.65,4.7,2.61,4.61,7.68,6.39,3.55,4.18,6.96,5.79,3.22,6.73,1.1,27.42
2024-01-08,15:00,Grécia,Super League 1,OFI,Lamia,1,1,1x1,13.22,8.96,3.04,0.69,17.78,12.06,4.09,0.92,11.96,8.11,2.75,0.62,5.37,3.64,1.23,0.28,0.49,0.02,4.76
