,Home,Away,ScoreHome,ScoreAway,Score,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,AOAW,AOD,AOHW,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_5_gte80,Probability_6_gte80,Probability_7_gte80,Probability_8_gte80,Probability_9_gte80,Probability_10_gte80
52,Jeonbuk Motors,Pohang Steelers,,,,13.17,12.01,5.48,1.67,14.68,13.4,6.11,1.86,8.19,7.47,3.41,1.04,3.04,2.78,1.27,0.39,1.37,0.03,2.66,61.0,69.0,75.0,81.0,84.0,87.0,0,0,0,1,1,1
53,Gangwon FC,Jeju United FC,,,,9.61,13.24,9.12,4.19,9.27,12.77,8.8,4.04,4.47,6.16,4.24,1.95,1.44,1.98,1.36,0.63,5.05,0.05,1.62,54.0,63.0,69.0,74.0,78.0,83.0,0,0,0,0,0,1
54,Gwangju FC,Incheon United,,,,13.03,8.12,2.53,0.53,18.43,11.49,3.58,0.74,13.04,8.13,2.53,0.53,6.15,3.83,1.19,0.25,0.36,0.01,5.53,64.0,72.0,78.0,84.0,88.0,91.0,0,0,0,1,1,1
55,Gyeongnam FC,Ansan Greeners,,,,3.97,5.13,3.32,1.43,7.68,9.92,6.42,2.76,7.42,9.59,6.2,2.67,4.78,6.18,4.0,1.72,3.78,0.3,12.71,47.0,54.0,60.0,66.0,71.0,76.0,0,0,0,0,0,0
56,Asan Mugunghwa,Cheonan City,,,,6.08,5.71,2.68,0.84,11.31,10.63,4.99,1.56,10.53,9.89,4.64,1.45,6.53,6.13,2.88,0.9,1.39,0.11,11.74,54.0,61.0,67.0,73.0,79.0,84.0,0,0,0,0,0,1
57,FC Anyang,Seoul E-Land FC,,,,11.19,9.43,3.97,1.12,15.07,12.71,5.35,1.5,10.16,8.56,3.61,1.01,4.56,3.85,1.62,0.46,1.04,0.03,4.76,59.0,67.0,72.0,77.0,82.0,86.0,0,0,0,0,1,1
58,Wellington Phoenix,Perth Glory,,,,2.55,4.43,3.84,2.22,4.93,8.56,7.42,4.29,4.77,8.28,7.18,4.15,3.08,5.34,4.63,2.68,8.85,0.64,12.17,45.0,52.0,58.0,63.0,68.0,72.0,0,0,0,0,0,0
59,Western Sydney Wanderers,Western United,,,,2.51,3.87,2.98,1.53,5.38,8.29,6.39,3.29,5.76,8.89,6.85,3.52,4.12,6.35,4.89,2.52,6.13,0.59,16.13,47.0,53.0,59.0,65.0,70.0,75.0,0,0,0,0,0,0
60,FK Liepaja,Tukums,,,,2.36,3.92,3.26,1.81,4.92,8.18,6.79,3.76,5.13,8.52,7.08,3.92,3.56,5.92,4.92,2.72,7.66,0.68,14.86,46.0,53.0,59.0,64.0,69.0,74.0,0,0,0,0,0,0
61,FS Jelgava,Auda,,,,12.03,14.76,9.05,3.7,10.73,13.15,8.06,3.3,4.78,5.86,3.59,1.47,1.42,1.74,1.07,0.44,3.57,0.03,1.26,60.0,68.0,74.0,78.0,82.0,86.0,0,0,0,0,1,1
62,Kolos Kovalivka,Dynamo Kyiv,,,,8.15,16.28,16.26,10.83,4.15,8.29,8.28,5.52,1.06,2.11,2.11,1.4,0.18,0.36,0.36,0.24,14.22,0.02,0.16,66.0,74.0,82.0,88.0,92.0,94.0,0,0,1,1,1,1
63,Warta Poznań,Piast Gliwice,,,,20.53,20.53,10.26,3.42,11.98,11.98,5.99,2.0,3.49,3.49,1.75,0.58,0.68,0.68,0.34,0.11,1.89,0.01,0.3,75.0,81.0,85.0,88.0,92.0,94.0,0,1,1,1,1,1
64,Pogon Szczecin,Jagiellonia,,,,3.32,4.41,2.93,1.3,6.89,9.16,6.09,2.7,7.15,9.51,6.32,2.8,4.95,6.58,4.38,1.94,4.01,0.37,15.19,48.0,54.0,61.0,67.0,72.0,76.0,0,0,0,0,0,0
65,Cracovia Krakow,Lech Poznan,,,,10.99,13.19,7.91,3.17,11.08,13.3,7.98,3.19,5.58,6.7,4.02,1.61,1.88,2.25,1.35,0.54,3.32,0.04,1.89,57.0,64.0,71.0,77.0,81.0,84.0,0,0,0,0,1,1
66,Ruch Chorzów,Slask Wroclaw,,,,15.34,15.34,7.67,2.56,13.42,13.42,6.71,2.24,5.87,5.87,2.94,0.98,1.71,1.71,0.86,0.29,1.88,0.02,1.21,65.0,72.0,78.0,84.0,87.0,89.0,0,0,0,1,1,1
67,Kecskeméti TE,Zalaegerszegi TE,,,,5.58,6.45,3.73,1.44,9.65,11.16,6.45,2.49,8.35,9.65,5.58,2.15,4.81,5.57,3.22,1.24,2.76,0.17,9.55,48.0,55.0,61.0,67.0,72.0,78.0,0,0,0,0,0,0
68,Videoton FC,Diosgyori VTK,,,,5.27,6.81,4.39,1.89,8.71,11.24,7.25,3.12,7.19,9.29,5.99,2.58,3.96,5.11,3.3,1.42,3.92,0.21,8.34,45.0,52.0,59.0,65.0,70.0,75.0,0,0,0,0,0,0
69,Puskas Academy,Debreceni VSC,,,,5.08,6.53,4.2,1.8,8.61,11.07,7.11,3.04,7.3,9.38,6.02,2.58,4.12,5.29,3.4,1.46,3.85,0.22,8.95,45.0,52.0,59.0,65.0,70.0,75.0,0,0,0,0,0,0
70,Oţelul,AFC Hermannstadt,,,,19.99,15.26,5.83,1.48,16.92,12.92,4.93,1.26,7.16,5.47,2.09,0.53,2.02,1.54,0.59,0.15,0.77,0.01,1.09,72.0,78.0,84.0,88.0,91.0,93.0,0,0,1,1,1,1
71,Petrolul Ploiesti,FCSB,,,,10.82,15.58,11.22,5.38,8.48,12.21,8.79,4.22,3.32,4.79,3.45,1.65,0.87,1.25,0.9,0.43,5.8,0.03,0.8,59.0,67.0,73.0,78.0,83.0,87.0,0,0,0,0,1,1
72,Hradec Králové,Teplice,,,,15.94,8.76,2.41,0.44,20.51,11.27,3.1,0.57,13.19,7.25,1.99,0.37,5.66,3.11,0.85,0.16,0.24,0.01,4.17,70.0,77.0,83.0,87.0,90.0,93.0,0,0,1,1,1,1
73,České Budějovice,Pardubice,,,,4.59,5.88,3.77,1.61,8.25,10.59,6.79,2.9,7.42,9.52,6.11,2.61,4.45,5.71,3.66,1.57,3.77,0.25,10.53,46.0,53.0,59.0,65.0,71.0,75.0,0,0,0,0,0,0
74,Sigma Olomouc,Zlin,,,,4.07,3.29,1.33,0.36,9.73,7.88,3.19,0.86,11.64,9.42,3.81,1.03,9.29,7.52,3.04,0.82,0.76,0.11,21.84,62.0,70.0,77.0,81.0,85.0,88.0,0,0,0,1,1,1
