,Home,Away,ScoreHome,ScoreAway,Score,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,AOAW,AOD,AOHW,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_5_gte80,Probability_6_gte80,Probability_7_gte80,Probability_8_gte80,Probability_9_gte80,Probability_10_gte80
97,Abha,Al Shabab,,,,3.79,8.34,9.18,6.74,4.06,8.93,9.84,7.22,2.17,4.78,5.27,3.87,0.78,1.71,1.88,1.38,17.83,0.22,2.0,54.0,61.0,68.0,73.0,78.0,82.0,0,0,0,0,0,1
98,Al-Fayha,Al-Nassr,,,,0.46,1.91,3.95,5.44,0.58,2.38,4.92,6.77,0.36,1.48,3.06,4.21,0.15,0.62,1.27,1.75,57.89,0.7,1.75,79.0,83.0,86.0,89.0,91.0,92.0,0,1,1,1,1,1
99,Al Wehda Club,Al-Ettifaq,,,,5.07,7.41,5.42,2.64,7.71,11.27,8.23,4.01,5.86,8.56,6.26,3.05,2.97,4.34,3.17,1.54,5.76,0.23,6.49,43.0,50.0,56.0,62.0,68.0,73.0,0,0,0,0,0,0
100,Maribor,Rogaška,,,,3.25,2.25,0.78,0.18,8.88,6.16,2.14,0.49,12.13,8.42,2.92,0.68,11.05,7.67,2.66,0.62,0.41,0.08,29.22,70.0,77.0,84.0,87.0,90.0,92.0,0,0,1,1,1,1
101,FC ST. Gallen,Grasshoppers,,,,2.6,2.75,1.45,0.51,6.74,7.13,3.77,1.33,8.74,9.24,4.88,1.72,7.55,7.98,4.22,1.49,1.75,0.28,25.85,59.0,66.0,73.0,78.0,82.0,86.0,0,0,0,0,1,1
102,Yverdon Sport,FC Winterthur,,,,5.47,8.73,6.97,3.71,7.16,11.43,9.13,4.86,4.69,7.49,5.98,3.18,2.05,3.27,2.61,1.39,7.57,0.2,4.13,44.0,52.0,58.0,64.0,70.0,75.0,0,0,0,0,0,0
103,FC Zurich,Stade Lausanne-Ouchy,,,,3.31,3.06,1.42,0.44,8.22,7.6,3.52,1.08,10.2,9.44,4.37,1.35,8.45,7.81,3.61,1.11,1.16,0.18,23.67,60.0,68.0,75.0,80.0,83.0,87.0,0,0,0,1,1,1
104,Sligo Rovers,Drogheda United,,,,6.43,8.22,5.25,2.24,9.43,12.05,7.7,3.28,6.91,8.83,5.64,2.4,3.38,4.32,2.76,1.17,3.88,0.15,5.95,46.0,53.0,60.0,66.0,71.0,76.0,0,0,0,0,0,0
105,Independiente del Valle,Deportivo Cuenca,,,,7.21,3.89,1.05,0.19,15.07,8.13,2.19,0.39,15.75,8.5,2.29,0.41,10.98,5.92,1.6,0.29,0.2,0.02,15.93,66.0,74.0,82.0,87.0,91.0,94.0,0,0,1,1,1,1
106,Emelec,Universidad Catolica,,,,16.62,14.56,6.38,1.86,15.26,13.37,5.86,1.71,7.01,6.14,2.69,0.79,2.14,1.88,0.82,0.24,1.22,0.01,1.42,67.0,73.0,79.0,85.0,88.0,90.0,0,0,0,1,1,1
107,Deportivo Municipal,Academia Cantolao,,,,14.05,8.21,2.4,0.47,19.36,11.32,3.31,0.64,13.34,7.8,2.28,0.44,6.13,3.58,1.05,0.2,0.29,0.01,5.12,66.0,74.0,80.0,85.0,89.0,92.0,0,0,1,1,1,1
108,Sport Boys,Cienciano,,,,6.67,10.12,7.68,3.89,7.94,12.04,9.14,4.62,4.72,7.17,5.44,2.75,1.87,2.84,2.16,1.09,6.62,0.13,3.11,47.0,54.0,61.0,67.0,73.0,78.0,0,0,0,0,0,0
109,Cesar Vallejo,Cusco,,,,8.07,5.98,2.21,0.55,14.34,10.62,3.93,0.97,12.73,9.43,3.49,0.86,7.54,5.58,2.07,0.51,0.63,0.04,10.44,58.0,66.0,73.0,79.0,85.0,89.0,0,0,0,0,1,1
110,Philadelphia Union,New England Revolution,,,,5.43,4.8,2.12,0.62,11.02,9.74,4.3,1.27,11.18,9.88,4.37,1.29,7.57,6.69,2.95,0.87,1.1,0.1,14.7,57.0,64.0,71.0,76.0,81.0,85.0,0,0,0,0,1,1
111,Los Angeles FC,Vancouver Whitecaps,,,,3.91,4.31,2.37,0.87,8.37,9.22,5.07,1.86,8.96,9.86,5.43,1.99,6.39,7.04,3.87,1.42,2.2,0.23,16.62,53.0,60.0,66.0,72.0,77.0,81.0,0,0,0,0,0,1
